target	sha	verdict	evidence	verifier	ts
statusline	74eda179ee71e6682fc7c5e223eeb133c89d9d66	live-verified	21 tests in tests/statusline.test.ts green under bun and node; rendered live against the mid-cycle e2e store and correctly showed 'implementer · #2 cli-search · impl report written' beside 'reviewer · no review report yet'	session	2026-08-19T17:15:29.012Z
why-source-playbooks	5fd188586d82f287932b76063ffcb409abc3dace	type-check-only	8 playbooks under skills/understand/references/sources/; lint-plugin resolves every relative link in all 20 reference files	session	2026-08-19T17:27:39.786Z
fan-out-tooling	5fd188586d82f287932b76063ffcb409abc3dace	test-verified	11 tests in tests/fanout.test.ts covering the duplicate-name collision the first e2e run hit, the cap, round separation, named dropouts and stray reports	session	2026-08-19T17:27:39.809Z
statusline	4ec3af6338738002d7397e8a971b6809787b6626	test-verified	.mstack/progress/review_statusline_{correctness,robustness,tests}.md; every finding reproduced and fixed; 137 tests green on bun, node 24 and node 22.6.0; each fix pinned by a mutation that fails without it	review panel	2026-08-19T18:27:06.694Z
decision-required-gate	0402a42179457a438d6749718a69a495a583aa93	test-verified	11 new tests across gate.test.ts and decisions.test.ts; 6 of 6 mutations caught; exercised live against the example's export-json fork	session	2026-08-19T18:37:05.152Z
statusline-argument-hardening	f1506dcc78fe489a9c7a30819dd0c9e16df79afb	test-verified	3 new tests in launcher.test.ts driving the real binary; 3 of 3 mutations caught	session	2026-08-19T18:39:44.800Z
spec-path-end-to-end	0164d941b3ec51994ed92e20818f0eba8072d6f8	live-verified	A headless session drove examples/notes-cli item 3 from pending to done through the spec path: 4 spec artifacts totalling 375 lines with EARS statements and 15 R-ids, the decision fork answered via 'mstack decide --resolves', 15 tests green, and 'notes export' emitting the versioned envelope its spec required	e2e session	2026-08-19T19:20:59.356Z
decision-required-gate	0164d941b3ec51994ed92e20818f0eba8072d6f8	test-verified	.mstack/progress/review_decision-required-gate_{correctness,adversarial}.md; both returned CHANGES_REQUESTED, all findings reproduced here and fixed; the fork mechanism then answered a real fork in an independent headless run	review panel	2026-08-19T19:21:15.214Z
statusline-argument-hardening	0164d941b3ec51994ed92e20818f0eba8072d6f8	test-verified	tests/launcher.test.ts drives the real binary; the adversarial reviewer's follow-up found worktree list still unguarded and --subagent=false inverted, both fixed	review panel	2026-08-19T19:21:15.289Z
fan-out-tooling	0164d941b3ec51994ed92e20818f0eba8072d6f8	test-verified	.mstack/progress/review_decision-required-gate_adversarial.md findings 18 and 19: the cap message stated the opposite of the docs, the cap ignored CLAUDE_CODE_MAX_CONCURRENT_SUBAGENTS, and --kind explore and --kind design exited 2 on two of the three paths the module cites as its reason to exist. All three fixed and pinned by tests.	adversarial reviewer	2026-08-19T19:21:59.768Z
why-source-playbooks	a3c802269f0f452381da9c30f8693e7c0029c8a3	test-verified	.mstack/progress/review_why-source-playbooks_facts.md: 13 findings against the tools' own docs, all fixed; the hanging rg command reproduced here and now refused by the linter, with a test	fact-check reviewer	2026-08-19T19:40:38.784Z
release-0-1-0	85fdac6e471e0ddc9bcff0f235010b9d98c4b44a	live-verified	A clean clone of this commit: CLI runs with no install step, node-only launcher works, 169 tests green, lint-plugin clean, 'claude plugin validate --strict' passes. Also green on bun, node 24 and node 22.6.0, and the example's own gate --full	release check	2026-08-19T19:41:50.495Z
